ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,No_of_H-bond_donors,No_of_H-bond_acceptors,Molecular_Weight,LogP,Meets
1,SULFAPYRIDINE,81,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,4,249.295,1.4646,TRUE
2,TRIPTORELIN,,0,INTRAMUSCULAR,31.5,12.7,3,0,0,33.6,NANOMOLAR,0,NaN,18,14,1312.481,-3.9048,FALSE
3,HISTAMINE,,0,INJECTION,59,210,0.18,0,0,38,NANOMOLAR,0.3,NaN,2,2,111.148,-0.0891,TRUE
4,BUTABARBITAL,,0,ORAL,0,0,100,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,2,3,212.249,0.7949,TRUE
5,DESOXYCORTICOSTERONE ACETATE,,1791,INJECTION IMPLANTATION,0,0,0,0,0,0,NaN,0,NaN,0,4,372.505,4.2667,TRUE
6,DESOXYCORTICOSTERONE PIVALATE,,1791,INJECTION,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,0,4,414.586,5.2929,FALSE
7,GUANIDINE,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,3,0,60.08,-2.9811,TRUE
8,MENADIONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,2,172.183,2.0119,TRUE
9,THEOPHYLLINE,,0,ORAL RECTAL INJECTION,29.2,2.5,8.7,40,0,0,NaN,0,NaN,1,5,180.167,-1.0397,TRUE
10,ERGOCALCIFEROL,,0,ORAL INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,1,1,396.659,7.641,FALSE
11,ESTRONE,17  961,0,INJECTION,0,0,0,0,0,1.03,NANOMOLAR,4,SOLUBILITY SOLUBLE IN WATER,1,2,270.372,3.8174,TRUE
12,DIETHYLSTILBESTROL,,0,ORAL VAGINAL INJECTION,0,0,0,0,0,0,NaN,0,NaN,2,2,268.356,4.8286,TRUE
13,SULFADIAZINE,,0,ORAL INJECTION,18.8,2.1,7,56,0,0,NaN,0,NaN,2,5,250.283,0.8596,TRUE
14,MEPERIDINE,,0,ORAL INJECTION,149.5,19.1,7.9,58,0,1.38,MICROMOLAR,0,SOLUBILITY READILY SOLUBLE IN WATER,0,3,247.338,2.2131,TRUE
15,HOMATROPINE METHYLBROMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,3,290.383,2.033,TRUE
16,HYDROCODONE,1862,568,ORAL,0,0,16,0,0,76.2,NANOMOLAR,3.4,NaN,0,4,299.37,1.9333,TRUE
17,ESTRADIOL,19  20  21  1825,11,TRANSDERMAL VAGINAL ORAL TOPICAL INJECTION,78,117,1.7,98.4,0,639.7,PICOMOLAR,1,NaN,2,2,272.388,3.6092,TRUE
18,ETHINYL ESTRADIOL,383,0,ORAL TRANSDERMAL VAGINAL,279.5,27.3,9.7,97,0,418.9,NANOMOLAR,1.27,NaN,2,2,296.41,3.6126,TRUE
19,ESTRADIOL VALERATE,,17,INJECTION ORAL,0,0,0,0,0,0,NaN,0,NaN,1,3,356.506,5.3503,FALSE
20,ESTRADIOL CYPIONATE,,17,INJECTION INTRAMUSCULAR,0,0,0,0,0,0,NaN,0,NaN,1,3,396.571,6.1305,FALSE
