ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,Molecular_Weight,LogP,MolMR,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,TPSA,FractionCSP3,LabuteASA,NumAmideBonds
1,SULFAPYRIDINE,81,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,249.295,1.4646,65.8999,17,238.207,3,5,4,3,6,3,88,85.08,0,99.35867408,0
2,TRIPTORELIN,,0,INTRAMUSCULAR,31.5,12.7,3,0,0,33.6,NANOMOLAR,0,NaN,1312.481,-3.9048,344.6239,95,1228.817,21,31,14,21,31,33,506,489.66,0.421875,545.0230227,11
3,HISTAMINE,,0,INJECTION,59,210,0.18,0,0,38,NANOMOLAR,0.3,NaN,111.148,-0.0891,31.3461,8,102.076,3,3,2,3,3,2,44,54.7,0.4,47.92998645,0
4,BUTABARBITAL,,0,ORAL,0,0,100,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,212.249,0.7949,53.8604,15,196.121,2,5,3,2,5,3,84,75.27,0.7,88.60218957,4
5,DESOXYCORTICOSTERONE ACETATE,,1791,INJECTION IMPLANTATION,0,0,0,0,0,0,NaN,0,NaN,372.505,4.2667,101.84,27,340.249,0,4,4,0,4,3,148,60.44,0.782608696,161.6531614,0
6,DESOXYCORTICOSTERONE PIVALATE,,1791,INJECTION,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,414.586,5.2929,115.621,30,376.282,0,4,4,0,4,3,166,60.44,0.807692308,180.7479878,0
7,GUANIDINE,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,60.08,-2.9811,15.3072,4,54.032,6,3,0,6,3,0,24,77.63,0,24.10438342,0
8,MENADIONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,172.183,2.0119,48.86,13,164.119,0,2,2,0,2,0,64,34.14,0.090909091,75.88372371,0
9,THEOPHYLLINE,,0,ORAL RECTAL INJECTION,29.2,2.5,8.7,40,0,0,NaN,0,NaN,180.167,-1.0397,46.5757,13,172.103,1,6,5,1,6,0,68,72.68,0.285714286,72.45404342,0
10,ERGOCALCIFEROL,,0,ORAL INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,396.659,7.641,125.6418,29,352.307,1,1,1,1,1,5,162,20.23,0.714285714,179.6110163,0
11,ESTRONE,17  961,0,INJECTION,0,0,0,0,0,1.03,NANOMOLAR,4,SOLUBILITY SOLUBLE IN WATER,270.372,3.8174,77.7308,20,248.196,1,2,2,1,2,0,106,37.3,0.611111111,119.7489709,0
12,DIETHYLSTILBESTROL,,0,ORAL VAGINAL INJECTION,0,0,0,0,0,0,NaN,0,NaN,268.356,4.8286,83.6096,20,248.196,2,2,2,2,2,4,104,40.46,0.222222222,119.5770145,0
13,SULFADIAZINE,,0,ORAL INJECTION,18.8,2.1,7,56,0,0,NaN,0,NaN,250.283,0.8596,63.6949,17,240.203,3,6,5,3,7,3,88,97.97,0,98.57832206,0
14,MEPERIDINE,,0,ORAL INJECTION,149.5,19.1,7.9,58,0,1.38,MICROMOLAR,0,SOLUBILITY READILY SOLUBLE IN WATER,247.338,2.2131,71.484,18,226.17,0,3,3,0,3,3,98,29.54,0.533333333,108.744952,0
15,HOMATROPINE METHYLBROMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,290.383,2.033,79.4342,21,266.191,1,4,3,1,4,3,114,46.53,0.588235294,125.4732103,0
16,HYDROCODONE,1862,568,ORAL,0,0,16,0,0,76.2,NANOMOLAR,3.4,NaN,299.37,1.9333,81.558,22,278.202,0,4,4,0,4,1,116,38.77,0.611111111,129.9358301,0
17,ESTRADIOL,19  20  21  1825,11,TRANSDERMAL VAGINAL ORAL TOPICAL INJECTION,78,117,1.7,98.4,0,639.7,PICOMOLAR,1,NaN,272.388,3.6092,78.7306,20,248.196,2,2,2,2,2,0,108,40.46,0.666666667,120.3816825,0
18,ETHINYL ESTRADIOL,383,0,ORAL TRANSDERMAL VAGINAL,279.5,27.3,9.7,97,0,418.9,NANOMOLAR,1.27,NaN,296.41,3.6126,86.5066,22,272.218,2,2,2,2,2,0,116,40.46,0.6,132.1107922,0
19,ESTRADIOL VALERATE,,17,INJECTION ORAL,0,0,0,0,0,0,NaN,0,NaN,356.506,5.3503,102.1288,26,324.25,1,3,3,1,3,4,142,46.53,0.695652174,156.6872267,0
20,ESTRADIOL CYPIONATE,,17,INJECTION INTRAMUSCULAR,0,0,0,0,0,0,NaN,0,NaN,396.571,6.1305,113.7958,29,360.283,1,3,3,1,3,4,158,46.53,0.730769231,174.7762219,0
21,ESTRADIOL ACETATE,,17,VAGINAL ORAL,0,0,0,0,0,0,NaN,0,NaN,314.425,3.8289,88.3748,23,288.217,1,3,3,1,3,1,124,46.53,0.65,137.5924003,0
22,METHAMPHETAMINE,294,1106,ORAL,242,17.1,12.2,15,67.2,0,NaN,0,NaN,149.237,1.837,48.6677,11,134.117,1,1,1,1,1,3,60,12.03,0.4,68.44103376,0
23,DICUMAROL,,0,ORAL,0,0,16.5,0,0,0,NaN,0,NaN,336.299,2.9014,91.1036,25,324.203,2,6,6,2,6,2,124,100.88,0.052631579,139.7379139,0
24,VITAMIN A,1325,0,INJECTION INTRAVENOUS ORAL,0,0,0,0,0,0,NaN,0,NaN,286.459,5.5103,93.2118,21,256.219,1,1,1,1,1,5,116,20.23,0.5,130.0135386,0
25,TUBOCURARINE,,0,INJECTION,29.2,13.2,2,42,0,0,NaN,0,NaN,609.743,6.701,172.253,45,568.415,2,8,7,2,8,2,234,80.62,0.351351351,264.101727,0
26,SULFABENZAMIDE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,276.317,1.3875,71.9484,19,264.221,3,5,4,3,6,3,98,89.26,0,110.6654903,1
27,SULFACETAMIDE,,0,VAGINAL OPHTHALMIC TOPICAL,0,0,10,0,4,0,NaN,0,NaN,214.246,0.0936,51.8569,14,204.166,3,5,4,3,6,2,76,89.26,0.125,81.97333822,1
28,SULFATHIAZOLE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,255.324,1.5261,63.7769,16,246.252,3,5,5,3,7,3,84,85.08,0,96.99903735,0
29,NITROFURAZONE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,198.138,0.19,45.6755,14,192.09,3,8,5,3,8,3,74,123.76,0,77.52532582,2
30,DIPHENHYDRAMINE,,0,ORAL INJECTION,422,38.2,9.3,81,0,207.8,NANOMOLAR,2.5,SOLUBILITY FREELY SOLUBLE IN WATER,255.361,3.3542,79.233,19,234.193,0,2,2,0,2,6,100,12.47,0.294117647,115.1865868,0
31,SILODOSIN,,0,ORAL,49.5,10,13.3,97,32,124.4,NANOMOLAR,2.6,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,495.542,3.0711,127.2354,35,463.286,4,7,6,4,10,13,192,97.05,0.48,202.5559527,1
32,TRIMETHADIONE,,1773,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,143.142,0.3736,33.33,10,134.07,0,4,3,0,4,0,56,46.61,0.666666667,58.75455355,2
33,FOLIC ACID,105  1853,0,ORAL INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,439.388,-2.7142,106.637,32,422.252,5,13,11,5,13,9,166,218.94,0.210526316,179.2775196,1
34,TRIPELENNAMINE,,0,ORAL,0,0,4.4,0,0,760.7,NANOMOLAR,0.5,NaN,255.365,2.6498,80.283,19,234.197,0,3,3,0,3,6,100,19.37,0.3125,115.0525232,0
35,HOMATROPINE METHYLBROMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,290.383,2.033,79.4342,21,266.191,1,4,3,1,4,3,114,46.53,0.588235294,125.4732103,0
36,DIHYDROERGOTAMINE,,0,INJECTION NASAL,800,90,9,93,0,7.6,NANOMOLAR,0.38,NaN,583.689,2.0811,157.3662,43,546.393,3,10,6,3,10,4,224,118.21,0.484848485,249.5057752,3
37,DIMERCAPROL,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,124.23,0.2069,33.7128,6,116.166,1,1,3,1,3,2,38,20.23,1,48.57350234,0
38,CHLOROQUINE,,0,ORAL INJECTION,9100,16,570,55,0,0.513,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,319.88,4.8106,96.8597,22,293.672,1,3,3,1,4,8,120,28.16,0.5,138.2301567,0
39,MEPHENYTOIN,,0,ORAL,97.5,1.17,77,0,0,0,NaN,0,NaN,218.256,1.4735,59.7127,16,204.144,1,4,2,1,4,2,84,49.41,0.333333333,94.24796471,3
40,METHYLERGONOVINE,,0,ORAL INJECTION,56.1,14.4,3.39,0,60,9.56,NANOMOLAR,1.12,NaN,339.439,1.9247,99.1952,25,314.239,3,5,3,3,5,4,132,68.36,0.45,147.2657198,1
41,SULFOXONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,404.491,1.7016,96.8576,25,388.363,4,8,6,4,11,8,136,132.8,0.142857143,149.698488,0
42,ASCORBIC ACID,,0,INJECTION INTRAVENOUS ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,176.124,-1.4074,35.2562,12,168.06,4,6,6,4,6,2,68,107.22,0.5,67.32052975,0
43,BIOTIN,,0,INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,243.308,-0.5379,58.9644,16,228.188,2,5,4,2,6,5,90,81.26,0.8,98.3521801,2
