ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,No_of_H-bond_donors,No_of_H-bond_acceptors,Molecular_Weight,LogP,Meets
1,SULFAPYRIDINE,81,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,2,4,249.295,1.4646,True
4,BUTABARBITAL,,0,ORAL,0.0,0.0,100,0.0,0,0,,0.0,SOLUBILITY FREELY SOLUBLE IN WATER,2,3,212.249,0.7949,True
7,GUANIDINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,SOLUBILITY VERY SOLUBLE IN WATER,3,0,60.08,-2.9811,True
8,MENADIONE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,2,172.183,2.0119,True
13,SULFADIAZINE,,0,ORAL INJECTION,18.8,2.1,7,56.0,0,0,,0.0,,2,5,250.283,0.8596,True
14,MEPERIDINE,,0,ORAL INJECTION,149.5,19.1,7.9,58.0,0,1.38,MICROMOLAR,0.0,SOLUBILITY READILY SOLUBLE IN WATER,0,3,247.338,2.2131,True
15,HOMATROPINE METHYLBROMIDE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,1,3,290.383,2.033,True
16,HYDROCODONE,1862,568,ORAL,0.0,0.0,16,0.0,0,76.2,NANOMOLAR,3.4,,0,4,299.37,1.9333,True
22,METHAMPHETAMINE,294,1106,ORAL,242.0,17.1,12.2,15.0,67.2,0,,0.0,,1,1,149.237,1.837,True
23,DICUMAROL,,0,ORAL,0.0,0.0,16.5,0.0,0,0,,0.0,,2,6,336.299,2.9014,True
30,DIPHENHYDRAMINE,,0,ORAL INJECTION,422.0,38.2,9.3,81.0,0,207.8,NANOMOLAR,2.5,SOLUBILITY FREELY SOLUBLE IN WATER,0,2,255.361,3.3542,True
31,SILODOSIN,,0,ORAL,49.5,10.0,13.3,97.0,32,124.4,NANOMOLAR,2.6,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,3,6,495.542,3.0711,True
32,TRIMETHADIONE,,1773,ORAL,0.0,0.0,0,0.0,0,0,,0.0,SOLUBILITY SOLUBLE IN WATER,0,3,143.142,0.3736,True
34,TRIPELENNAMINE,,0,ORAL,0.0,0.0,4.4,0.0,0,760.7,NANOMOLAR,0.5,,0,3,255.365,2.6498,True
35,HOMATROPINE METHYLBROMIDE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,1,3,290.383,2.033,True
38,CHLOROQUINE,,0,ORAL INJECTION,9100.0,16.0,570,55.0,0,0.513,MICROMOLAR,0.0,SOLUBILITY FREELY SOLUBLE IN WATER,1,3,319.88,4.8106,True
39,MEPHENYTOIN,,0,ORAL,97.5,1.17,77,0.0,0,0,,0.0,,1,2,218.256,1.4735,True
40,METHYLERGONOVINE,,0,ORAL INJECTION,56.1,14.4,3.39,0.0,60,9.56,NANOMOLAR,1.12,,3,3,339.439,1.9247,True
41,SULFOXONE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,4,6,404.491,1.7016,True
50,METHADONE,,0,ORAL INJECTION,286.0,6.6,31,79.0,68,2.03,MICROMOLAR,0.0,SOLUBILITY VERY SOLUBLE IN WATER,0,2,309.453,4.292,True
51,PROPYLTHIOURACIL,,0,ORAL,22.1,12.09,1.3,82.0,0,105.8,MICROMOLAR,0.75,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,2,170.237,1.38499,True
55,SULFAMERAZINE,,0,ORAL,0.0,0.0,20.3,0.0,0,0,,0.0,,2,5,264.31,1.16802,True
56,SULFAMETHAZINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,2,5,278.337,1.47644,True
60,DOXYLAMINE,,0,ORAL,0.0,11.7,12.5,0.0,0,308,NANOMOLAR,2.5,SOLUBILITY VERY SOLUBLE IN WATER,0,3,270.376,2.9233,True
61,AMODIAQUINE,,1772,ORAL,46200.0,2380.0,12.4,0.0,0,85.8,NANOMOLAR,1.46,,2,4,355.869,5.1792,False
62,DIETHYLCARBAMAZINE,,0,ORAL,533.0,2.0,11.4,0.0,0,3.2,MICROMOLAR,2.7,,0,2,199.298,0.6956,True
66,SULFISOXAZOLE ACETYL,,65,ORAL,0.0,0.0,0,0.0,0,0,,0.0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,6,309.347,1.61544,True
74,TRIHEXYPHENIDYL,,0,ORAL,0.0,0.0,3.7,0.0,0,0,,0.0,,1,2,301.474,4.3305,True
75,PARAMETHADIONE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,3,157.169,0.7637,True
76,AMINOSALICYLIC ACID,78,0,ORAL,51.8,9.42,3.25,55.0,0,130.7,MICROMOLAR,6.0,,2,4,152.129,-0.6621,True
77,CHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30.0,0,26.2,NANOMOLAR,3.5,,0,2,274.795,3.8186,True
78,PHENYL AMINOSALICYLATE,,76,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,2,4,229.235,2.1936,True
79,DEXCHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30.0,0,26.2,NANOMOLAR,3.5,,0,2,274.795,3.8186,True
81,SULFASALAZINE,,1  1399,ORAL,7.5,1.0,7.6,99.3,15,15,MICROMOLAR,6.0,,2,8,397.392,0.4655,True
83,PROCAINAMIDE,,0,ORAL INJECTION,130.0,39.0,3.1,17.5,0,0,,0.0,,2,3,235.331,1.3404,True
84,ASPIRIN,,1770,ORAL,10.0,27.7,0.25,32.0,0,1.77,MICROMOLAR,0.0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,4,179.151,-0.0246,True
85,OXYCODONE,,0,ORAL,169.0,48.0,4.5,45.0,73.5,312.7,NANOMOLAR,2.1,SOLUBILITY IN WATER 1 GRAM / 6 MILLILITER,1,5,315.369,1.0482,True
87,DICYCLOMINE,,0,ORAL INJECTION,237.0,91.2,1.8,0.0,0,0,,1.25,SOLUBILITY SOLUBLE IN WATER,0,3,309.494,4.4022,True
88,METHIMAZOLE,,0,ORAL,136.0,4.6,5.4,0.0,0,1.3,MICROMOLAR,0.9,SOLUBILITY FREELY SOLUBLE IN WATER,1,2,114.173,1.08269,True
92,PHENACEMIDE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,2,2,178.191,0.424,True
93,DYPHYLLINE,,0,ORAL INJECTION,27.3,18.7,2,0.0,0,67,MICROMOLAR,0.0,SOLUBILITY FREELY SOLUBLE IN WATER,2,8,254.246,-2.2131,True
95,DISULFIRAM,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,SOLUBILITY SOLUBLE IN WATER,0,4,296.552,3.6212,True
96,PROBENECID,,0,ORAL,8.4,0.97,5.9,97.0,0,0,,0.0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,4,284.357,0.8608,True
102,BROMODIPHENHYDRAMINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,2,334.257,4.1167,True
104,CHLOROTRIANISENE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,3,380.871,5.8678,False
106,DIPHEMANIL,,0,ORAL,0.0,0.0,8.35,0.0,0,0,,3.0,,0,0,278.419,4.3587,True
113,HYDRALAZINE,,0,ORAL INJECTION,143.0,331.5,1,88.0,18,583,NANOMOLAR,2.5,SOLUBILITY SOLUBLE IN WATER,2,4,160.18,0.9154,True
114,CODEINE,,0,ORAL,292.5,58.5,2.9,16.0,0,662.2,NANOMOLAR,1.0,SOLUBILITY SOLUBLE IN WATER,1,4,299.37,1.5011,True
115,PHENYLBUTAZONE,,0,ORAL,10.0,1.36,79,98.5,0,138,MICROMOLAR,3.0,,0,2,308.381,3.7878,True
116,METHARBITAL,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,1,3,198.222,0.501,True
117,ISONIAZID,,0,ORAL INJECTION,53.3,24.02,2.8,0.0,100,22.5,MICROMOLAR,1.5,SOLUBILITY FREELY SOLUBLE IN WATER,2,3,137.142,-0.3149,True
120,SULFAMETHIZOLE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,SOLUBILITY SOLUBLE IN WATER,2,6,270.339,1.22952,True
121,PYRIMETHAMINE,,0,ORAL,149.5,0.2,100,90.0,0,805,NANOMOLAR,4.0,,2,4,248.717,2.5238,True
123,PHENOXYBENZAMINE,,0,ORAL,0.0,0.0,24,0.0,25,0,,0.0,SOLUBILITY SOLUBLE IN WATER,0,2,303.833,4.1949,True
125,NITROFURANTOIN,,0,ORAL INJECTION,37.0,37.8,0.97,83.0,0,3.67,MICROMOLAR,2.15,,1,6,238.159,0.0735,True
126,PHENOXYBENZAMINE,,0,ORAL,0.0,0.0,24,0.0,25,0,,0.0,SOLUBILITY SOLUBLE IN WATER,0,2,303.833,4.1949,True
128,PROPANTHELINE,,0,ORAL INJECTION,0.0,79.2,1.6,0.0,0,3.5,MICROMOLAR,1.0,SOLUBILITY VERY SOLUBLE IN WATER,0,3,368.497,4.7308,True
129,PHENYTOIN,734,0,ORAL INJECTION,0.0,0.0,22,88.0,0,0,,1.5,,2,2,252.273,1.7696,True
130,CARBINOXAMINE,,0,ORAL,0.0,0.0,17,0.0,0,98.8,NANOMOLAR,6.7,SOLUBILITY FREELY SOLUBLE IN WATER,0,3,290.794,3.4026,True
131,PHENINDIONE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,2,222.243,2.8494,True
132,METHSCOPOLAMINE,,0,ORAL,0.0,0.0,0,0.0,17,0,,1.0,SOLUBILITY FREELY SOLUBLE IN WATER,1,4,318.393,1.0627,True
133,PHENSUXIMIDE,,0,ORAL,0.0,0.0,7.8,0.0,0,0,,0.0,,0,2,189.214,1.1589,True
135,CARBINOXAMINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,3,290.794,3.4026,True
136,ACETAZOLAMIDE,,0,ORAL INJECTION,13.0,1.1,3.5,93.0,100,0,,4.5,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,6,222.251,-0.8561,True
137,CYCRIMINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,1,2,287.447,3.9404,True
139,MERCAPTOPURINE,372,0,ORAL,65.0,58.5,1,15.0,0,0,,0.0,,2,3,152.182,1.01549,True
140,ETHOPROPAZINE,,0,ORAL,0.0,0.0,0,0.0,0,0,,0.0,,0,3,312.482,5.0196,False
141,RESERPINE,,0,ORAL INJECTION,0.0,0.0,200,95.0,50,1.8,NANOMOLAR,2.5,SOLUBILITY INSOLUBLE IN WATER,1,10,608.688,4.1711,False
146,PRIMIDONE,,0,ORAL,0.0,0.0,0,0.0,70,0,,4.0,SOLUBILITY POORLY SOLUBLE IN WATER,2,2,218.256,0.5379,True
