ID,Name,Route,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Tmax(hour),Molecular_Weight,LogP,MolMR,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,TPSA,FractionCSP3,LabuteASA,NumAmideBonds,vd
1,SULFAPYRIDINE,ORAL,0,0,0,0,0,0,249.295,1.4646,65.8999,17,238.207,3,5,4,3,6,3,88,85.08,0,99.35867408,0,0
4,BUTABARBITAL,ORAL,0,100,0,0,0,0,212.249,0.7949,53.8604,15,196.121,2,5,3,2,5,3,84,75.27,0.7,88.60218957,4,0
7,GUANIDINE,ORAL,0,0,0,0,0,0,60.08,-2.9811,15.3072,4,54.032,6,3,0,6,3,0,24,77.63,0,24.10438342,0,0
8,MENADIONE,ORAL,0,0,0,0,0,0,172.183,2.0119,48.86,13,164.119,0,2,2,0,2,0,64,34.14,0.090909091,75.88372371,0,0
13,SULFADIAZINE,ORAL INJECTION,2.1,7,56,0,0,0,250.283,0.8596,63.6949,17,240.203,3,6,5,3,7,3,88,97.97,0,98.57832206,0,18.8
14,MEPERIDINE,ORAL INJECTION,19.1,7.9,58,0,1.38,0,247.338,2.2131,71.484,18,226.17,0,3,3,0,3,3,98,29.54,0.533333333,108.744952,0,149.5
15,HOMATROPINE METHYLBROMIDE,ORAL,0,0,0,0,0,0,290.383,2.033,79.4342,21,266.191,1,4,3,1,4,3,114,46.53,0.588235294,125.4732103,0,0
16,HYDROCODONE,ORAL,0,16,0,0,76.2,3.4,299.37,1.9333,81.558,22,278.202,0,4,4,0,4,1,116,38.77,0.611111111,129.9358301,0,0
22,METHAMPHETAMINE,ORAL,17.1,12.2,15,67.2,0,0,149.237,1.837,48.6677,11,134.117,1,1,1,1,1,3,60,12.03,0.4,68.44103376,0,242
23,DICUMAROL,ORAL,0,16.5,0,0,0,0,336.299,2.9014,91.1036,25,324.203,2,6,6,2,6,2,124,100.88,0.052631579,139.7379139,0,0
30,DIPHENHYDRAMINE,ORAL INJECTION,38.2,9.3,81,0,207.8,2.5,255.361,3.3542,79.233,19,234.193,0,2,2,0,2,6,100,12.47,0.294117647,115.1865868,0,422
31,SILODOSIN,ORAL,10,13.3,97,32,124.4,2.6,495.542,3.0711,127.2354,35,463.286,4,7,6,4,10,13,192,97.05,0.48,202.5559527,1,49.5
32,TRIMETHADIONE,ORAL,0,0,0,0,0,0,143.142,0.3736,33.33,10,134.07,0,4,3,0,4,0,56,46.61,0.666666667,58.75455355,2,0
34,TRIPELENNAMINE,ORAL,0,4.4,0,0,760.7,0.5,255.365,2.6498,80.283,19,234.197,0,3,3,0,3,6,100,19.37,0.3125,115.0525232,0,0
35,HOMATROPINE METHYLBROMIDE,ORAL,0,0,0,0,0,0,290.383,2.033,79.4342,21,266.191,1,4,3,1,4,3,114,46.53,0.588235294,125.4732103,0,0
38,CHLOROQUINE,ORAL INJECTION,16,570,55,0,0.513,0,319.88,4.8106,96.8597,22,293.672,1,3,3,1,4,8,120,28.16,0.5,138.2301567,0,9100
39,MEPHENYTOIN,ORAL,1.17,77,0,0,0,0,218.256,1.4735,59.7127,16,204.144,1,4,2,1,4,2,84,49.41,0.333333333,94.24796471,3,97.5
40,METHYLERGONOVINE,ORAL INJECTION,14.4,3.39,0,60,9.56,1.12,339.439,1.9247,99.1952,25,314.239,3,5,3,3,5,4,132,68.36,0.45,147.2657198,1,56.1
41,SULFOXONE,ORAL,0,0,0,0,0,0,404.491,1.7016,96.8576,25,388.363,4,8,6,4,11,8,136,132.8,0.142857143,149.698488,0,0
50,METHADONE,ORAL INJECTION,6.6,31,79,68,2.03,0,309.453,4.292,96.728,23,282.237,0,2,2,0,2,7,122,20.31,0.380952381,139.6943321,0,286
51,PROPYLTHIOURACIL,ORAL,12.09,1.3,82,0,105.8,0.75,170.237,1.38499,46.2424,11,160.157,2,3,2,2,4,2,60,48.65,0.428571429,69.48582777,0,22.1
55,SULFAMERAZINE,ORAL,0,20.3,0,0,0,0,264.31,1.16802,68.4319,18,252.214,3,6,5,3,7,3,94,97.97,0.090909091,104.9432642,0,0
56,SULFAMETHAZINE,ORAL,0,0,0,0,0,0,278.337,1.47644,73.1689,19,264.225,3,6,5,3,7,3,100,97.97,0.166666667,111.3082063,0,0
60,DOXYLAMINE,ORAL,11.7,12.5,0,0,308,2.5,270.376,2.9233,81.639,20,248.2,0,3,3,0,3,6,106,25.36,0.352941176,120.7711769,0,0
61,AMODIAQUINE,ORAL,2380,12.4,0,0,85.8,1.46,355.869,5.1792,104.7675,25,333.693,2,4,4,2,5,6,130,48.39,0.25,152.6217162,0,46200
62,DIETHYLCARBAMAZINE,ORAL,2,11.4,0,0,3.2,2.7,199.298,0.6956,57.387,14,178.13,0,4,2,0,4,2,82,26.79,0.9,86.45892201,2,533
66,SULFISOXAZOLE ACETYL,ORAL,0,0,0,0,0,0,309.347,1.61544,77.1772,21,294.227,2,7,6,2,8,3,112,106.5,0.230769231,121.9356217,1,0
74,TRIHEXYPHENIDYL,ORAL,0,3.7,0,0,0,0,301.474,4.3305,91.8218,22,270.226,1,2,2,1,2,5,122,23.47,0.7,135.0829978,0,0
75,PARAMETHADIONE,ORAL,0,0,0,0,0,0,157.169,0.7637,37.947,11,146.081,0,4,3,0,4,1,62,46.61,0.714285714,65.11949566,2,0
76,AMINOSALICYLIC ACID,ORAL,9.42,3.25,55,0,130.7,6,152.129,-0.6621,36.8497,11,146.081,3,4,4,3,4,1,58,86.38,0,62.88622554,0,51.8
77,CHLORPHENIRAMINE,ORAL INJECTION,9.75,24,30,0,26.2,3.5,274.795,3.8186,80.703,19,255.643,0,2,2,0,3,5,100,16.13,0.3125,119.5959558,0,214.5
78,PHENYL AMINOSALICYLATE,ORAL,0,0,0,0,0,0,229.235,2.1936,63.9197,17,218.147,3,4,4,3,4,2,86,72.55,0,98.26263122,0,0
79,DEXCHLORPHENIRAMINE,ORAL INJECTION,9.75,24,30,0,26.2,3.5,274.795,3.8186,80.703,19,255.643,0,2,2,0,3,5,100,16.13,0.3125,119.5959558,0,214.5
81,SULFASALAZINE,ORAL,1,7.6,99.3,15,15,6,397.392,0.4655,99.7822,28,384.288,2,9,8,2,10,6,142,140.65,0,159.7209396,0,7.5
83,PROCAINAMIDE,ORAL INJECTION,39,3.1,17.5,0,0,0,235.331,1.3404,70.9756,17,214.163,3,4,3,3,4,6,94,58.36,0.461538462,102.7971066,1,130
84,ASPIRIN,ORAL,27.7,0.25,32,0,1.77,0,179.151,-0.0246,42.0815,13,172.095,0,4,4,0,4,2,68,66.43,0.111111111,74.75705264,0,10
85,OXYCODONE,ORAL,48,4.5,45,73.5,312.7,2.1,315.369,1.0482,83.0178,23,294.201,1,5,5,1,5,1,122,59,0.611111111,134.7300639,0,169
87,DICYCLOMINE,ORAL INJECTION,91.2,1.8,0,0,0,1.25,309.494,4.4022,90.84,22,274.214,0,3,3,0,3,7,128,29.54,0.947368421,136.3314478,0,237
88,METHIMAZOLE,ORAL,4.6,5.4,0,0,1.3,0.9,114.173,1.08269,30.5977,7,108.125,1,2,2,1,3,0,38,20.72,0.25,46.79390537,0,136
92,PHENACEMIDE,ORAL,0,0,0,0,0,0,178.191,0.424,47.8721,13,168.111,3,4,2,3,4,2,68,72.19,0.111111111,75.73902654,3,0
93,DYPHYLLINE,ORAL INJECTION,18.7,2,0,0,67,0,254.246,-2.2131,63.3076,18,240.134,2,8,8,2,8,3,98,102.28,0.5,101.3473088,0,27.3
95,DISULFIRAM,ORAL,0,0,0,0,0,0,296.552,3.6212,86.22,16,276.392,0,2,4,0,6,4,94,6.48,0.8,117.90714,0,0
96,PROBENECID,ORAL,0.97,5.9,97,0,0,0,284.357,0.8608,70.1133,19,266.213,0,5,4,0,6,7,106,77.51,0.461538462,113.4623633,0,8.4
102,BROMODIPHENHYDRAMINE,ORAL,0,0,0,0,0,0,334.257,4.1167,86.933,20,314.097,0,2,2,0,3,6,106,12.47,0.294117647,129.0541344,0,0
104,CHLOROTRIANISENE,ORAL,0,0,0,0,0,0,380.871,5.8678,110.751,27,359.703,0,3,3,0,4,6,138,27.69,0.130434783,164.324601,0,0
106,DIPHEMANIL,ORAL,0,8.35,0,0,0,3,278.419,4.3587,89.9824,21,254.227,0,1,0,0,1,2,108,0,0.3,127.6824052,0,0
113,HYDRALAZINE,ORAL INJECTION,331.5,1,88,18,583,2.5,160.18,0.9154,47.3481,12,152.116,3,4,4,3,4,1,60,63.83,0,69.38070608,0,143
114,CODEINE,ORAL,58.5,2.9,16,0,662.2,1,299.37,1.5011,82.4638,22,278.202,1,4,4,1,4,1,116,41.93,0.555555556,129.8789387,0,292.5
115,PHENYLBUTAZONE,ORAL,1.36,79,98.5,0,138,3,308.381,3.7878,90.871,23,288.221,0,4,2,0,4,5,118,40.62,0.263157895,135.8501085,2,10
116,METHARBITAL,ORAL,0,0,0,0,0,0,198.222,0.501,49.3237,14,184.11,1,5,3,1,5,2,78,66.48,0.666666667,82.44721894,4,0
117,ISONIAZID,ORAL INJECTION,24.02,2.8,0,100,22.5,1.5,137.142,-0.3149,35.8906,10,130.086,3,4,3,3,4,1,52,68.01,0,58.03740422,1,53.3
120,SULFAMETHIZOLE,ORAL,0,0,0,0,0,0,270.339,1.22952,66.3089,17,260.259,3,6,6,3,8,3,90,97.97,0.111111111,102.552081,0,0
121,PYRIMETHAMINE,ORAL,0.2,100,90,0,805,4,248.717,2.5238,70.6808,17,235.613,4,4,4,4,5,2,88,77.82,0.166666667,104.6407251,0,149.5
123,PHENOXYBENZAMINE,ORAL,0,24,0,25,0,0,303.833,4.1949,88.971,21,281.657,0,2,2,0,3,8,112,12.47,0.333333333,131.8547951,0,0
125,NITROFURANTOIN,ORAL INJECTION,37.8,0.97,83,0,3.67,2.15,238.159,0.0735,53.2011,17,232.111,1,9,6,1,9,3,88,118.05,0.125,93.83084397,3,37
126,PHENOXYBENZAMINE,ORAL,0,24,0,25,0,0,303.833,4.1949,88.971,21,281.657,0,2,2,0,3,8,112,12.47,0.333333333,131.8547951,0,0
128,PROPANTHELINE,ORAL INJECTION,79.2,1.6,0,0,3.5,1,368.497,4.7308,107.0834,27,338.257,0,4,3,0,4,6,144,35.53,0.434782609,161.8554471,0,0
129,PHENYTOIN,ORAL INJECTION,0,22,88,0,0,1.5,252.273,1.7696,70.3384,19,240.177,2,4,2,2,4,2,94,58.2,0.066666667,110.0002611,3,0
130,CARBINOXAMINE,ORAL,0,17,0,0,98.8,6.7,290.794,3.4026,82.038,20,271.642,0,3,3,0,4,6,106,25.36,0.3125,124.709501,0,0
