Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,2,4,249.295,1.4646,TRUE
,18,14,1312.481,-3.9048,FALSE
,2,2,111.148,-0.0891,TRUE
,2,3,212.249,0.7949,TRUE
,0,4,372.505,4.2667,TRUE
,0,4,414.586,5.2929,FALSE
,3,0,60.08,-2.9811,TRUE
,0,2,172.183,2.0119,TRUE
,1,5,180.167,-1.0397,TRUE
,1,1,396.659,7.641,FALSE
,1,2,270.372,3.8174,TRUE
,2,2,268.356,4.8286,TRUE
,2,5,250.283,0.8596,TRUE
,0,3,247.338,2.2131,TRUE
,1,3,290.383,2.033,TRUE
,0,4,299.37,1.9333,TRUE
,2,2,272.388,3.6092,TRUE
,2,2,296.41,3.6126,TRUE
,1,3,356.506,5.3503,FALSE
,1,3,396.571,6.1305,FALSE
_c001,1,3,314.425,3.8289,TRUE
,1,1,149.237,1.837,TRUE
,2,6,336.299,2.9014,TRUE
,1,1,286.459,5.5103,FALSE
,2,7,609.743,6.701,FALSE
_c001,2,4,276.317,1.3875,TRUE
,2,4,214.246,0.0936,TRUE
_c001,2,5,255.324,1.5261,TRUE
,2,5,198.138,0.19,TRUE
,0,2,255.361,3.3542,TRUE
,3,6,495.542,3.0711,TRUE
,0,3,143.142,0.3736,TRUE
,4,11,439.388,-2.7142,FALSE
,0,3,255.365,2.6498,TRUE
,1,3,290.383,2.033,TRUE
,3,6,583.689,2.0811,FALSE
,3,3,124.23,0.2069,TRUE
,1,3,319.88,4.8106,TRUE
,1,2,218.256,1.4735,TRUE
,3,3,339.439,1.9247,TRUE
,4,6,404.491,1.7016,TRUE
,4,6,176.124,-1.4074,TRUE
,2,4,243.308,-0.5379,TRUE
,1,6,521.437,4.8692,FALSE
_c001,1,2,122.127,0.1805,TRUE
,3,4,169.18,0.08022,TRUE
_c001,2,5,265.362,0.60774,TRUE
,1,2,430.717,8.84026,FALSE
,2,2,266.34,4.6046,TRUE
,0,2,309.453,4.292,TRUE
,2,2,170.237,1.38499,TRUE
,1,4,343.471,3.4853,TRUE
,2,2,406.907,6.609,FALSE
,3,3,124.23,0.2069,TRUE
,2,5,264.31,1.16802,TRUE
,2,5,278.337,1.47644,TRUE
,4,4,211.261,1.1292,TRUE
,4,4,211.261,1.1292,TRUE
,1,2,160.22,1.2308,TRUE
,0,3,270.376,2.9233,TRUE
,2,4,355.869,5.1792,FALSE
,0,2,199.298,0.6956,TRUE
,1,2,234.343,2.58374,TRUE
,4,4,183.207,0.3506,TRUE
,2,5,267.31,1.67444,TRUE
,1,6,309.347,1.61544,TRUE
,2,3,172.209,-0.0838,TRUE
,1,2,161.225,0.1764,TRUE
,0,6,194.194,-1.0293,TRUE
_c001,3,6,581.673,1.9908,FALSE
,0,6,652.832,7.4516,FALSE
,0,1,156.056,1.3958,TRUE
,2,4,211.261,1.0844,TRUE
,1,2,301.474,4.3305,TRUE
,0,3,157.169,0.7637,TRUE
,2,4,152.129,-0.6621,TRUE
,0,2,274.795,3.8186,TRUE
_c001,2,4,229.235,2.1936,TRUE
,0,2,274.795,3.8186,TRUE
,0,1,203.285,2.92402,TRUE
,2,8,397.392,0.4655,TRUE
,1,6,402.487,2.5606,TRUE
,2,3,235.331,1.3404,TRUE
,0,4,179.151,-0.0246,TRUE
,1,5,315.369,1.0482,TRUE
,2,3,238.287,1.3511,TRUE
,0,3,309.494,4.4022,TRUE
,1,2,114.173,1.08269,TRUE
,1,4,324.424,3.1732,TRUE
,2,2,254.355,1.9273,TRUE
,2,2,254.355,1.9273,TRUE
,2,2,178.191,0.424,TRUE
,2,8,254.246,-2.2131,TRUE
,0,6,423.642,3.8484,TRUE
,0,4,296.552,3.6212,TRUE
,0,4,284.357,0.8608,TRUE
,0,3,284.428,4.2394,TRUE
,3,3,167.208,0.645,TRUE
,1,3,261.365,3.1542,TRUE
,0,4,285.391,2.6584,TRUE
,1,1,166.244,1.979,TRUE
,0,2,334.257,4.1167,TRUE
,3,12,452.431,-2.401,FALSE
,0,3,380.871,5.8678,FALSE
,5,11,471.43,-3.4005,FALSE
,0,0,278.419,4.3587,TRUE
,1,2,200.237,2.9712,TRUE
,3,5,362.466,1.7816,TRUE
,2,6,404.503,2.3524,TRUE
,2,6,446.584,3.5227,TRUE
,2,6,432.557,3.1326,TRUE
,1,1,163.264,2.2271,TRUE
,2,4,160.18,0.9154,TRUE
,1,4,299.37,1.5011,TRUE
,0,2,308.381,3.7878,TRUE
,1,3,198.222,0.501,TRUE
,2,3,137.142,-0.3149,TRUE
,0,4,290.404,0.2654,TRUE
,1,3,261.365,3.1542,TRUE
,2,6,270.339,1.22952,TRUE
,2,4,248.717,2.5238,TRUE
,1,4,236.315,1.7674,TRUE
,0,2,303.833,4.1949,TRUE
,4,4,183.207,0.4784,TRUE
,1,6,238.159,0.0735,TRUE
,0,2,303.833,4.1949,TRUE
,1,2,257.377,3.0804,TRUE
,0,3,368.497,4.7308,TRUE
,2,2,252.273,1.7696,TRUE
,0,3,290.794,3.4026,TRUE
,0,2,222.243,2.8494,TRUE
,1,4,318.393,1.0627,TRUE
_c001,0,2,189.214,1.1589,TRUE
,1,5,294.395,2.5562,TRUE
,0,3,290.794,3.4026,TRUE
,2,6,222.251,-0.8561,TRUE
,1,2,287.447,3.9404,TRUE
,0,4,216.192,2.5478,TRUE
,2,3,152.182,1.01549,TRUE
,0,3,312.482,5.0196,FALSE
,1,10,608.688,4.1711,FALSE
,0,3,318.873,4.8944,TRUE
,1,2,288.431,3.8792,TRUE
,0,3,344.495,4.8401,TRUE
,4,3,281.339,-2.4418,TRUE
,2,2,218.256,0.5379,TRUE
,1,4,308.333,3.6096,TRUE
,0,2,314.469,4.7235,TRUE
,0,5,179.159,-1.4106,TRUE
,9,19,943.09,0.0423,FALSE
,1,1,318.525,4.7211,TRUE
,6,14,780.949,2.2181,FALSE
,2,2,111.148,-0.0891,TRUE
,0,0,240.435,2.6375,TRUE
,0,6,246.306,-0.281,TRUE
_c001,2,3,224.26,0.961,TRUE
,1,4,270.76,2.4208,TRUE
,4,14,806.987,3.8181,FALSE
,1,1,318.525,4.7211,TRUE
,3,3,167.208,0.7728,TRUE
,1,2,217.268,1.771,TRUE
,2,4,335.879,3.783,TRUE
_c001,1,2,183.251,1.1278,TRUE
,2,4,218.253,0.9834,TRUE
,1,2,167.208,1.4178,TRUE
,2,5,358.434,1.7658,TRUE
,2,4,335.879,3.783,TRUE
,1,2,287.447,3.9404,TRUE
,0,2,181.215,0.5715,TRUE
,0,3,289.419,3.9242,TRUE
,3,5,360.45,1.5576,TRUE
_c001,2,6,402.487,2.1284,TRUE
,5,9,376.369,-1.72356,TRUE
,1,1,144.601,1.5132,TRUE
,2,6,422.493,2.4445,TRUE
_c001,2,4,197.234,0.6959,TRUE
,2,2,151.209,1.2819,TRUE
,0,2,450.707,9.1576,FALSE
,2,2,537.576,4.6392,FALSE
,1,3,233.311,2.0853,TRUE
,1,1,167.296,2.4206,TRUE
,0,4,428.613,5.9696,FALSE
,0,3,284.428,4.241,TRUE
,1,3,352.454,2.7045,TRUE
,2,5,649.968,2.618,FALSE
,1,4,374.912,3.0559,TRUE
,0,2,203.241,1.333,TRUE
,1,2,283.415,3.6366,TRUE
,1,2,177.247,1.736,TRUE
,1,4,352.478,3.4082,TRUE
,2,7,475.626,2.6743,TRUE
,0,4,373.953,4.5802,TRUE
,0,2,269.388,3.66262,TRUE
,0,2,203.241,1.333,TRUE
,2,3,336.447,3.3322,TRUE
,0,2,269.388,3.66262,TRUE
,0,2,390.958,5.55562,FALSE
,0,3,184.147,2.914,TRUE
,0,3,303.209,2.0432,TRUE
,2,3,270.354,1.78302,TRUE
,1,3,340.443,2.7045,TRUE
,1,10,634.726,4.5707,FALSE
,0,2,390.958,5.55562,FALSE
,1,1,353.53,4.1115,TRUE
,1,5,403.979,3.9427,TRUE
,1,9,578.662,4.1625,FALSE
,0,2,319.246,3.9277,TRUE
,1,2,204.229,1.2994,TRUE
,1,2,298.426,3.4925,TRUE
,0,3,340.463,4.0633,TRUE
,0,3,252.269,2.858,TRUE
,0,2,433.039,6.5447,FALSE
,1,2,310.437,3.9156,TRUE
,1,2,298.426,3.6366,TRUE
,0,3,339.479,4.2755,TRUE
,2,5,241.243,0.5302,TRUE
,1,5,258.324,1.3424,TRUE
,0,3,122.103,-0.5549,TRUE
,0,2,278.399,3.91752,TRUE
,0,3,352.425,5.2598,FALSE
,2,5,295.729,0.1299,TRUE
,3,5,374.477,1.8036,TRUE
,2,8,473.542,0.8846,TRUE
,4,6,394.439,0.6205,TRUE
,2,6,434.504,2.4188,TRUE
,2,8,478.513,1.7621,TRUE
,1,12,603.75,2.8346,FALSE
,1,3,280.323,4.0405,TRUE
_c001,0,2,271.404,3.3834,TRUE
,0,3,273.741,1.6155,TRUE
,0,6,225.16,0.9739,TRUE
,1,2,169.567,1.7745,TRUE
,0,3,298.455,4.487,TRUE
,0,0,197.381,2.5085,TRUE
,2,4,305.164,0.2882,TRUE
,0,3,273.741,1.6155,TRUE
,0,4,407.505,4.9456,TRUE
,0,3,404.491,3.7955,TRUE
,1,3,262.309,1.3066,TRUE
,1,5,344.455,2.7317,TRUE
,1,1,149.237,1.9664,TRUE
,2,3,276.745,1.7379,TRUE
,3,5,392.467,1.8957,TRUE
,2,8,470.43,0.7487,TRUE
,2,6,434.504,2.4665,TRUE
,0,2,205.301,2.5996,TRUE
_c001,2,3,242.344,1.3499,TRUE
_c001,0,1,189.224,0.1577,TRUE
,2,2,151.209,1.0672,TRUE
,2,5,301.342,0.7452,TRUE
,1,6,236.278,-1.4238,TRUE
,2,4,376.468,2.9233,TRUE
,1,5,437.531,4.3081,TRUE
,2,4,260.334,2.0227,TRUE
,2,4,260.334,2.0227,TRUE
,3,5,297.745,-0.3513,TRUE
,0,4,370.587,5.8856,FALSE
,0,2,280.415,3.875,TRUE
,0,3,296.439,4.241,TRUE
,0,4,386.532,4.6552,TRUE
,0,4,556.792,6.7622,FALSE
,1,2,274.404,3.4891,TRUE
,2,2,136.198,0.6924,TRUE
,0,2,281.399,3.8868,TRUE
,3,5,331.297,0.0141,TRUE
,0,3,296.439,4.241,TRUE
,2,4,231.255,1.41762,TRUE
,0,4,256.328,2.6069,TRUE
,0,2,382.531,5.30824,FALSE
,1,2,311.469,3.9624,TRUE
,0,8,235.128,-0.89881,TRUE
