MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings
1.4646,65.8999,249.295,249.0571976,17,238.207,3,5,4,3,6,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0c940>
-3.9048,344.6239,1312.481,1311.638151,95,1228.817,21,31,14,21,31,33,506,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0c9c0>
-0.0891,31.3461,111.148,111.0796473,8,102.076,3,3,2,3,3,2,44,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0c3c0>
0.7949,53.8604,212.249,212.1160924,15,196.121,2,5,3,2,5,3,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ccc0>
4.2667,101.84,372.505,372.2300595,27,340.249,0,4,4,0,4,3,148,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0cdc0>
5.2929,115.621,414.586,414.2770097,30,376.282,0,4,4,0,4,3,166,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0cec0>
-2.9811,15.3072,60.08,60.05562361,4,54.032,6,3,0,6,3,0,24,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0cf40>
2.0119,48.86,172.183,172.0524295,13,164.119,0,2,2,0,2,0,64,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0cfc0>
-1.0397,46.5757,180.167,180.0647255,13,172.103,1,6,5,1,6,0,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0d040>
7.641,125.6418,396.659,396.339216,29,352.307,1,1,1,1,1,5,162,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0d140>
3.8174,77.7308,270.372,270.1619799,20,248.196,1,2,2,1,2,0,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0d1c0>
4.8286,83.6096,268.356,268.1463299,20,248.196,2,2,2,2,2,4,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0d240>
0.8596,63.6949,250.283,250.0524466,17,240.203,3,6,5,3,7,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0d2c0>
